NO_OF_FRAMES	5618
NO_OF_CAMERAS	13
NO_OF_MARKERS	6
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-10-10, 15:47:17.423	14041227.18119250
DATA_INCLUDED	3D
MARKER_NAMES	hand	R wrist	L wrist	R elbow	L elbow	
TRAJECTORY_TYPES	Mixed	Measured	Measured	Mixed	Measured	Mixed
hand X	hand Y	hand Z	R wrist X	R wrist Y	R wrist Z	L wrist X	L wrist Y	L wrist Z	R elbow X	R elbow Y	R elbow Z	L elbow X	L elbow Y	L elbow Z	 X	 Y	 Z	
251.431	194.706	63.280	0.000	0.000	0.000	0.000	0.000	0.000	-14.216	-33.875	18.664	-16.875	-32.155	97.876	173.170	-225.085	-10.696
251.436	194.706	63.283	0.000	0.000	0.000	0.000	0.000	0.000	-14.219	-33.875	18.652	-16.878	-32.165	97.860	173.147	-225.081	-10.707
251.427	194.699	63.284	0.000	0.000	0.000	0.000	0.000	0.000	-14.225	-33.869	18.643	-16.875	-32.173	97.852	173.159	-225.080	-10.703
251.503	194.830	62.835	0.000	0.000	0.000	0.000	0.000	0.000	-14.228	-33.871	18.627	-16.877	-32.179	97.832	173.163	-225.082	-10.694
251.503	194.831	62.826	0.000	0.000	0.000	0.000	0.000	0.000	-14.239	-33.862	18.613	-16.891	-32.179	97.825	173.163	-225.082	-10.694
251.503	194.831	62.826	0.000	0.000	0.000	0.000	0.000	0.000	-14.247	-33.863	18.586	-16.900	-32.173	97.811	173.151	-225.084	-10.698
251.493	194.824	62.824	0.000	0.000	0.000	0.000	0.000	0.000	-14.260	-33.858	18.574	-16.909	-32.167	97.794	173.152	-225.089	-10.703
251.483	194.819	62.818	0.000	0.000	0.000	0.000	0.000	0.000	-14.266	-33.858	18.561	-16.925	-32.159	97.780	173.163	-225.082	-10.694
251.485	194.818	62.819	0.000	0.000	0.000	0.000	0.000	0.000	-14.279	-33.841	18.554	-16.939	-32.151	97.770	173.163	-225.082	-10.694
251.485	194.817	62.827	0.000	0.000	0.000	0.000	0.000	0.000	-14.297	-33.824	18.549	-16.947	-32.151	97.758	173.157	-225.079	-10.692
251.485	194.816	62.836	0.000	0.000	0.000	0.000	0.000	0.000	-14.314	-33.822	18.532	-16.966	-32.158	97.749	173.151	-225.084	-10.698
251.484	194.816	62.840	0.000	0.000	0.000	0.000	0.000	0.000	-14.418	-33.558	18.531	-16.979	-32.162	97.734	173.163	-225.082	-10.694
251.474	194.810	62.839	0.000	0.000	0.000	0.000	0.000	0.000	-14.343	-33.804	18.501	-16.988	-32.160	97.728	173.151	-225.084	-10.698
251.473	194.814	62.788	0.000	0.000	0.000	0.000	0.000	0.000	-14.383	-33.481	18.481	-16.989	-32.074	97.695	173.158	-225.087	-10.700
251.471	194.804	62.787	0.000	0.000	0.000	0.000	0.000	0.000	-14.392	-33.471	18.464	-16.997	-32.070	97.674	173.163	-225.082	-10.694
251.473	194.805	62.780	0.000	0.000	0.000	0.000	0.000	0.000	-14.316	-33.717	18.455	-17.008	-32.058	97.666	173.168	-225.084	-10.685
251.470	194.806	62.774	0.000	0.000	0.000	0.000	0.000	0.000	-14.321	-33.729	18.447	-17.009	-32.057	97.659	173.145	-225.080	-10.696
251.472	194.806	62.767	0.000	0.000	0.000	0.000	0.000	0.000	-14.318	-33.723	18.437	-17.017	-32.048	97.652	173.151	-225.084	-10.698
251.472	194.805	62.776	0.000	0.000	0.000	0.000	0.000	0.000	-14.316	-33.734	18.440	-17.015	-32.049	97.644	173.151	-225.084	-10.698
251.472	194.804	62.784	0.000	0.000	0.000	0.000	0.000	0.000	-14.311	-33.738	18.433	-17.013	-32.051	97.638	173.163	-225.082	-10.694
251.472	194.804	62.784	0.000	0.000	0.000	0.000	0.000	0.000	-14.307	-33.744	18.432	-17.013	-32.055	97.638	173.156	-225.086	-10.689
251.472	194.804	62.793	0.000	0.000	0.000	0.000	0.000	0.000	-14.307	-33.756	18.435	-17.011	-32.063	97.642	173.163	-225.082	-10.694
251.455	194.801	62.784	0.000	0.000	0.000	0.000	0.000	0.000	-14.298	-33.748	18.434	-17.008	-32.072	97.643	173.151	-225.084	-10.698
251.455	194.801	62.780	0.000	0.000	0.000	0.000	0.000	0.000	-14.316	-33.795	18.405	-17.034	-32.143	97.662	173.143	-225.064	-10.691
251.453	194.792	62.777	0.000	0.000	0.000	0.000	0.000	0.000	-14.311	-33.793	18.399	-17.031	-32.147	97.656	173.147	-225.065	-10.681
251.474	194.794	62.773	0.000	0.000	0.000	0.000	0.000	0.000	-14.311	-33.794	18.392	-17.031	-32.149	97.650	173.159	-225.063	-10.677
251.472	194.794	62.771	0.000	0.000	0.000	0.000	0.000	0.000	-14.301	-33.819	18.384	-17.028	-32.153	97.638	173.160	-225.056	-10.680
251.472	194.794	62.770	0.000	0.000	0.000	0.000	0.000	0.000	-14.300	-33.811	18.372	-17.027	-32.148	97.634	173.158	-225.066	-10.670
251.473	194.794	62.769	0.000	0.000	0.000	0.000	0.000	0.000	-14.300	-33.814	18.359	-17.027	-32.144	97.622	173.159	-225.062	-10.676
251.481	194.801	62.778	0.000	0.000	0.000	0.000	0.000	0.000	-14.303	-33.808	18.355	-17.028	-32.149	97.611	173.151	-225.064	-10.669
251.466	194.797	62.769	0.000	0.000	0.000	0.000	0.000	0.000	-14.301	-33.800	18.348	-17.028	-32.148	97.601	173.147	-225.062	-10.679
251.474	194.804	62.778	0.000	0.000	0.000	0.000	0.000	0.000	-14.300	-33.799	18.337	-17.025	-32.155	97.594	173.151	-225.063	-10.669
251.473	194.794	62.767	0.000	0.000	0.000	0.000	0.000	0.000	-14.293	-33.795	18.333	-17.032	-32.159	97.587	173.159	-225.061	-10.675
251.473	194.794	62.767	0.000	0.000	0.000	0.000	0.000	0.000	-14.298	-33.805	18.328	-17.031	-32.166	97.581	173.159	-225.060	-10.675
251.454	194.792	62.762	0.000	0.000	0.000	0.000	0.000	0.000	-14.299	-33.809	18.315	-17.034	-32.172	97.575	173.147	-225.061	-10.678
251.462	194.789	62.762	0.000	0.000	0.000	0.000	0.000	0.000	-14.299	-33.809	18.314	-17.035	-32.173	97.571	173.151	-225.062	-10.668
251.464	194.789	62.754	0.000	0.000	0.000	0.000	0.000	0.000	-14.296	-33.818	18.307	-17.043	-32.173	97.563	173.151	-225.050	-10.666
251.447	194.786	62.753	0.000	0.000	0.000	0.000	0.000	0.000	-14.301	-33.833	18.306	-17.049	-32.171	97.565	173.159	-225.059	-10.674
251.453	194.782	62.769	0.000	0.000	0.000	0.000	0.000	0.000	-14.300	-33.834	18.313	-17.052	-32.176	97.558	173.163	-225.060	-10.663
